"Protocolo","Execucao","Base","Algoritmo","Repeticao","Fold_Externo","Fold_Interno","Semente","Configuracao","cp","profundidade_maxima","Acuracia","Sensibilidade","Especificidade","Precisao","F1","MCC","ROC_AUC","Brier","Log_Loss","Acuracia_Balanceada","VP","VN","FP","FN","Precisao_Denominador_Zero","MCC_Denominador_Zero"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,3,1,12130101,"arvore_cp_0.005_profundidade_3",0.005,3,0.765432098765432,0.810810810810811,0.727272727272727,0.714285714285714,0.759493670886076,0.536438521888844,0.826474201474201,0.172305627379747,0.578052234214581,0.769041769041769,30,32,12,7,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,3,2,12130102,"arvore_cp_0.005_profundidade_3",0.005,3,0.876543209876543,0.837837837837838,0.909090909090909,0.885714285714286,0.861111111111111,0.751092519491191,0.90448402948403,0.105188169777006,0.359418030869154,0.873464373464373,31,40,4,6,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,3,3,12130103,"arvore_cp_0.005_profundidade_3",0.005,3,0.864197530864197,0.810810810810811,0.909090909090909,0.882352941176471,0.845070422535211,0.72662782414489,0.896498771498772,0.112259089823808,0.7791928765549,0.85995085995086,30,40,4,7,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,3,1,12130201,"arvore_cp_0.01_profundidade_3",0.01,3,0.765432098765432,0.810810810810811,0.727272727272727,0.714285714285714,0.759493670886076,0.536438521888844,0.826474201474201,0.172305627379747,0.578052234214581,0.769041769041769,30,32,12,7,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,3,2,12130202,"arvore_cp_0.01_profundidade_3",0.01,3,0.876543209876543,0.837837837837838,0.909090909090909,0.885714285714286,0.861111111111111,0.751092519491191,0.90448402948403,0.105188169777006,0.359418030869154,0.873464373464373,31,40,4,6,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,3,3,12130203,"arvore_cp_0.01_profundidade_3",0.01,3,0.864197530864197,0.810810810810811,0.909090909090909,0.882352941176471,0.845070422535211,0.72662782414489,0.896498771498772,0.112259089823808,0.7791928765549,0.85995085995086,30,40,4,7,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,3,1,12130301,"arvore_cp_0.02_profundidade_3",0.02,3,0.765432098765432,0.810810810810811,0.727272727272727,0.714285714285714,0.759493670886076,0.536438521888844,0.826474201474201,0.172305627379747,0.578052234214581,0.769041769041769,30,32,12,7,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,3,2,12130302,"arvore_cp_0.02_profundidade_3",0.02,3,0.876543209876543,0.837837837837838,0.909090909090909,0.885714285714286,0.861111111111111,0.751092519491191,0.90448402948403,0.105188169777006,0.359418030869154,0.873464373464373,31,40,4,6,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,3,3,12130303,"arvore_cp_0.02_profundidade_3",0.02,3,0.864197530864197,0.810810810810811,0.909090909090909,0.882352941176471,0.845070422535211,0.72662782414489,0.896498771498772,0.112259089823808,0.7791928765549,0.85995085995086,30,40,4,7,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,3,1,12130401,"arvore_cp_0.005_profundidade_5",0.005,5,0.765432098765432,0.810810810810811,0.727272727272727,0.714285714285714,0.759493670886076,0.536438521888844,0.826474201474201,0.172305627379747,0.578052234214581,0.769041769041769,30,32,12,7,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,3,2,12130402,"arvore_cp_0.005_profundidade_5",0.005,5,0.876543209876543,0.837837837837838,0.909090909090909,0.885714285714286,0.861111111111111,0.751092519491191,0.90448402948403,0.105188169777006,0.359418030869154,0.873464373464373,31,40,4,6,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,3,3,12130403,"arvore_cp_0.005_profundidade_5",0.005,5,0.864197530864197,0.945945945945946,0.795454545454545,0.795454545454545,0.864197530864197,0.741400491400491,0.910012285012285,0.105567093639935,0.761791015238405,0.870700245700246,35,35,9,2,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,3,1,12130501,"arvore_cp_0.01_profundidade_5",0.01,5,0.765432098765432,0.810810810810811,0.727272727272727,0.714285714285714,0.759493670886076,0.536438521888844,0.826474201474201,0.172305627379747,0.578052234214581,0.769041769041769,30,32,12,7,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,3,2,12130502,"arvore_cp_0.01_profundidade_5",0.01,5,0.876543209876543,0.837837837837838,0.909090909090909,0.885714285714286,0.861111111111111,0.751092519491191,0.90448402948403,0.105188169777006,0.359418030869154,0.873464373464373,31,40,4,6,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,3,3,12130503,"arvore_cp_0.01_profundidade_5",0.01,5,0.864197530864197,0.945945945945946,0.795454545454545,0.795454545454545,0.864197530864197,0.741400491400491,0.910012285012285,0.105567093639935,0.761791015238405,0.870700245700246,35,35,9,2,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,3,1,12130601,"arvore_cp_0.02_profundidade_5",0.02,5,0.765432098765432,0.810810810810811,0.727272727272727,0.714285714285714,0.759493670886076,0.536438521888844,0.826474201474201,0.172305627379747,0.578052234214581,0.769041769041769,30,32,12,7,0,0
