"Protocolo","Execucao","Base","Algoritmo","Repeticao","Fold_Externo","id","cp","profundidade_maxima","Acuracia_Media","Sensibilidade_Media","Especificidade_Media","Precisao_Media","F1_Media","MCC_Media","ROC_AUC_Media","Brier_Media","Log_Loss_Media","Acuracia_Balanceada_Media","Posicao","Selecionada"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",2,3,"arvore_cp_0.02_profundidade_5",0.02,5,0.768724279835391,0.72972972972973,0.801444679351656,0.759919028340081,0.741963864886096,0.535762309419759,0.818736548387711,0.18272739793925,0.565468247203841,0.765587204540693,6,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",2,4,"arvore_cp_0.02_profundidade_5",0.02,5,0.765432098765432,0.72972972972973,0.795454545454545,0.752782193958665,0.740768937952037,0.527271357018547,0.79473791973792,0.184561835879696,0.571931683445639,0.762592137592138,1,TRUE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",2,4,"arvore_cp_0.005_profundidade_5",0.005,5,0.753086419753086,0.738738738738739,0.765151515151515,0.732833674010145,0.734382804983625,0.505581104654799,0.792280917280917,0.189543311686921,0.597455381285537,0.751945126945127,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",2,4,"arvore_cp_0.01_profundidade_5",0.01,5,0.753086419753086,0.738738738738739,0.765151515151515,0.732833674010145,0.734382804983625,0.505581104654799,0.792280917280917,0.189543311686921,0.597455381285537,0.751945126945127,3,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",2,4,"arvore_cp_0.005_profundidade_3",0.005,3,0.748971193415638,0.756756756756757,0.742424242424242,0.710892710892711,0.731842954065176,0.499180999180999,0.787981162981163,0.192069934889626,0.588226699910594,0.7495904995905,4,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",2,4,"arvore_cp_0.01_profundidade_3",0.01,3,0.748971193415638,0.756756756756757,0.742424242424242,0.710892710892711,0.731842954065176,0.499180999180999,0.787981162981163,0.192069934889626,0.588226699910594,0.7495904995905,5,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",2,4,"arvore_cp_0.02_profundidade_3",0.02,3,0.748971193415638,0.756756756756757,0.742424242424242,0.710892710892711,0.731842954065176,0.499180999180999,0.787981162981163,0.192069934889626,0.588226699910594,0.7495904995905,6,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",2,5,"arvore_cp_0.005_profundidade_3",0.005,3,0.776851851851852,0.711711711711712,0.832100070472163,0.78369571917959,0.744969339086986,0.55058545939801,0.777431765803859,0.181747086451165,0.569573488260159,0.771905891091938,1,TRUE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",2,5,"arvore_cp_0.005_profundidade_5",0.005,5,0.776851851851852,0.711711711711712,0.832100070472163,0.78369571917959,0.744969339086986,0.55058545939801,0.777431765803859,0.181747086451165,0.569573488260159,0.771905891091938,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",2,5,"arvore_cp_0.01_profundidade_3",0.01,3,0.776851851851852,0.711711711711712,0.832100070472163,0.78369571917959,0.744969339086986,0.55058545939801,0.777431765803859,0.181747086451165,0.569573488260159,0.771905891091938,3,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",2,5,"arvore_cp_0.01_profundidade_5",0.01,5,0.776851851851852,0.711711711711712,0.832100070472163,0.78369571917959,0.744969339086986,0.55058545939801,0.777431765803859,0.181747086451165,0.569573488260159,0.771905891091938,4,FALSE
