"Protocolo","Execucao","Base","Algoritmo","Repeticao","Fold_Externo","Fold_Interno","Semente","Configuracao","laplace","usar_kernel","ajuste","Acuracia","Sensibilidade","Especificidade","Precisao","F1","MCC","ROC_AUC","Brier","Log_Loss","Acuracia_Balanceada","VP","VN","FP","FN","Precisao_Denominador_Zero","MCC_Denominador_Zero"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",2,4,2,11240102,"gaussiano",1,FALSE,NA,0.753086419753086,0.675675675675676,0.818181818181818,0.757575757575758,0.714285714285714,0.500669643157225,0.835380835380835,0.19617236227132,0.734076078016686,0.746928746928747,25,36,8,12,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",2,4,3,11240103,"gaussiano",1,FALSE,NA,0.851851851851852,0.756756756756757,0.931818181818182,0.903225806451613,0.823529411764706,0.705687725026608,0.926289926289926,0.111781241388484,0.381305482327502,0.844287469287469,28,41,3,9,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",2,4,1,11240201,"kde",1,TRUE,1,0.864197530864197,0.891891891891892,0.840909090909091,0.825,0.857142857142857,0.730115081340578,0.91953316953317,0.109008042813947,0.454920881737557,0.866400491400491,33,37,7,4,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",2,4,2,11240202,"kde",1,TRUE,1,0.703703703703704,0.621621621621622,0.772727272727273,0.696969696969697,0.657142857142857,0.399788446401664,0.812039312039312,0.21700443717875,0.838004728687968,0.697174447174447,23,34,10,14,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",2,4,3,11240203,"kde",1,TRUE,1,0.864197530864197,0.783783783783784,0.931818181818182,0.90625,0.840579710144927,0.729164801228742,0.938574938574939,0.105503567335714,0.338351985559278,0.857800982800983,29,41,3,8,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",2,5,1,11250101,"gaussiano",1,FALSE,NA,0.825,0.810810810810811,0.837209302325581,0.810810810810811,0.810810810810811,0.648020113136392,0.915776241357637,0.132868455660774,0.42342122693391,0.824010056568196,30,36,7,7,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",2,5,2,11250102,"gaussiano",1,FALSE,NA,0.851851851851852,0.864864864864865,0.840909090909091,0.82051282051282,0.842105263157895,0.703616280422696,0.904176904176904,0.132345600506405,0.525209123300285,0.852886977886978,32,37,7,5,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",2,5,3,11250103,"gaussiano",1,FALSE,NA,0.790123456790123,0.702702702702703,0.863636363636364,0.8125,0.753623188405797,0.577072915650558,0.899262899262899,0.134785487827694,0.602782423495661,0.783169533169533,26,38,6,11,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",2,5,1,11250201,"kde",1,TRUE,1,0.8125,0.783783783783784,0.837209302325581,0.805555555555556,0.794520547945205,0.622363717322051,0.912005028284098,0.134768035873692,0.42759043177182,0.810496543054683,29,36,7,8,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",2,5,2,11250202,"kde",1,TRUE,1,0.839506172839506,0.837837837837838,0.840909090909091,0.815789473684211,0.826666666666667,0.677499613275602,0.886977886977887,0.138314265367323,0.54081613595089,0.839373464373464,31,37,7,6,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",2,5,3,11250203,"kde",1,TRUE,1,0.814814814814815,0.72972972972973,0.886363636363636,0.84375,0.782608695652174,0.627770210843286,0.908476658476658,0.124129754180494,0.510487335771221,0.808046683046683,27,39,5,10,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",3,1,1,11310101,"gaussiano",1,FALSE,NA,0.839506172839506,0.783783783783784,0.886363636363636,0.852941176470588,0.816901408450704,0.676408665650234,0.895577395577396,0.135406456703992,0.508925349936506,0.83507371007371,29,39,5,8,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",3,1,2,11310102,"gaussiano",1,FALSE,NA,0.790123456790123,0.756756756756757,0.818181818181818,0.777777777777778,0.767123287671233,0.576356428077914,0.882063882063882,0.162397388102016,0.775286334580702,0.787469287469287,28,36,8,9,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",3,1,3,11310103,"gaussiano",1,FALSE,NA,0.9,0.918918918918919,0.883720930232558,0.871794871794872,0.894736842105263,0.800629476929624,0.951602765556254,0.0885253497830633,0.337197296232028,0.901319924575739,34,38,5,3,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",3,1,1,11310201,"kde",1,TRUE,1,0.827160493827161,0.783783783783784,0.863636363636364,0.828571428571429,0.805555555555556,0.651029206861608,0.898034398034398,0.135482993712024,0.495759089357803,0.823710073710074,29,38,6,8,0,0
