"Protocolo","Execucao","Base","Algoritmo","Repeticao","Fold_Externo","id","numero_arvores","variaveis_por_divisao","Acuracia_Media","Sensibilidade_Media","Especificidade_Media","Precisao_Media","F1_Media","MCC_Media","ROC_AUC_Media","Brier_Media","Log_Loss_Media","Acuracia_Balanceada_Media","Posicao","Selecionada"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",2,2,"rf_500_arvores_mtry_4",500,4,0.834619341563786,0.783783783783784,0.87737843551797,0.849045506486523,0.812397952123979,0.669685394849544,0.900077138449231,0.122129725022251,0.393835667646316,0.830581109650877,4,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",2,3,"rf_300_arvores_mtry_4",300,4,0.814094650205761,0.774774774774775,0.846723044397463,0.81663384596149,0.790771526001705,0.630270018152854,0.884068529417367,0.139313836860819,0.42917903456339,0.810748909586119,1,TRUE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",2,3,"rf_500_arvores_mtry_3",500,3,0.805761316872428,0.774774774774775,0.831395348837209,0.802039288231149,0.784679089026915,0.612790654044188,0.887158829019294,0.137934571301702,0.425558713884982,0.803085061805992,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",2,3,"rf_500_arvores_mtry_4",500,4,0.801697530864197,0.756756756756757,0.839147286821705,0.806030458160276,0.776088573378643,0.604957895674419,0.881192503285527,0.141066486584549,0.434479896294911,0.797952021789231,3,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",2,3,"rf_300_arvores_mtry_3",300,3,0.801646090534979,0.765765765765766,0.831395348837209,0.800359180704267,0.778711484593838,0.604769280849181,0.880740148182009,0.141441656936852,0.434948319899486,0.798580557301488,4,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",2,4,"rf_500_arvores_mtry_4",500,4,0.810699588477366,0.747747747747748,0.863636363636364,0.827422003284072,0.779913245433744,0.624321955574555,0.886158886158886,0.138454422017915,0.426969558425649,0.805692055692056,1,TRUE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",2,4,"rf_300_arvores_mtry_4",300,4,0.810699588477366,0.756756756756757,0.856060606060606,0.819969278033794,0.782431846723197,0.623125159521165,0.883701883701884,0.139174331360136,0.42809001474984,0.806408681408681,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",2,4,"rf_300_arvores_mtry_3",300,3,0.810699588477366,0.738738738738739,0.871212121212121,0.829994340690436,0.779506389620525,0.62054333122429,0.891277641277641,0.137187975862357,0.425263319736911,0.80497542997543,3,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",2,4,"rf_500_arvores_mtry_3",500,3,0.802469135802469,0.72972972972973,0.863636363636364,0.821072796934866,0.768538261075575,0.605646968047283,0.89004914004914,0.136749810194493,0.423263652402164,0.796683046683047,4,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",2,5,"rf_300_arvores_mtry_3",300,3,0.830504115226337,0.792792792792793,0.862579281183932,0.830842360254125,0.810279219174697,0.659378159000099,0.895553587414053,0.13182840018158,0.418649211679426,0.827686036988363,1,TRUE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",2,5,"rf_500_arvores_mtry_4",500,4,0.826440329218107,0.783783783783784,0.862755461592671,0.829059829059829,0.804511278195489,0.651283711372671,0.892677561282212,0.132724021180279,0.417748424370837,0.823269622688227,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",2,5,"rf_300_arvores_mtry_4",300,4,0.822325102880658,0.774774774774775,0.862755461592671,0.82716588966589,0.798576150521231,0.643124403285262,0.893053730263033,0.133560658904668,0.418210871637346,0.818765118183723,3,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",2,5,"rf_500_arvores_mtry_3",500,3,0.809927983539095,0.765765765765766,0.847427766032417,0.809065891109235,0.786085401296669,0.617045537699214,0.899915242938499,0.130888826200311,0.414024521782175,0.806596765899091,4,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",3,1,"rf_500_arvores_mtry_3",500,3,0.80190329218107,0.774774774774775,0.824700493305144,0.788942052099947,0.780952380952381,0.601271391148787,0.882620993086109,0.141724521505608,0.437925059523685,0.79973763403996,1,TRUE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",3,1,"rf_300_arvores_mtry_3",300,3,0.793569958847737,0.765765765765766,0.81677237491191,0.779335585585586,0.770854423028336,0.585164468976799,0.882182922880597,0.140800908995431,0.434550401953478,0.791269070338838,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",3,1,"rf_500_arvores_mtry_4",500,4,0.793569958847737,0.774774774774775,0.809196617336152,0.773820879703233,0.77343998470759,0.584956325546279,0.882011504104527,0.142056126630448,0.436831481828468,0.791985696055464,3,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",3,1,"rf_300_arvores_mtry_4",300,4,0.772890946502058,0.765765765765766,0.778541226215645,0.74468032827166,0.753672867019275,0.545119511730608,0.876426108984249,0.145214484656759,0.445535322052734,0.772153495990705,4,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",3,2,"rf_300_arvores_mtry_3",300,3,0.806584362139918,0.758890469416785,0.848132487667371,0.828813908457957,0.784751009565432,0.621444752638193,0.908140838067399,0.128182590411335,0.406362363693794,0.803511478542078,1,TRUE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",3,2,"rf_500_arvores_mtry_4",500,4,0.802469135802469,0.732100521574206,0.863284002818887,0.839965546942291,0.774509803921569,0.613730292574105,0.902827106621476,0.129879755592257,0.408653231084458,0.797692262196546,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",3,2,"rf_500_arvores_mtry_3",500,3,0.798353909465021,0.749881460407776,0.840380549682875,0.817427248677249,0.774376842669526,0.60431463741736,0.906099350713794,0.129709327729652,0.411509021020981,0.795131005045326,3,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",3,2,"rf_300_arvores_mtry_4",300,4,0.79835390946502,0.740872451398767,0.847780126849894,0.816738816738817,0.77161887259944,0.600413633524149,0.901797340903828,0.130236170854611,0.411177816484124,0.794326289124331,4,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",3,3,"rf_500_arvores_mtry_3",500,3,0.834619341563786,0.765765765765766,0.893058491895701,0.858630952380952,0.809178743961353,0.667955145480897,0.89617736129364,0.130249138423667,0.412804184862597,0.829412128830733,1,TRUE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",3,3,"rf_500_arvores_mtry_4",500,4,0.834567901234568,0.774774774774775,0.885306553911205,0.851158645276292,0.811133467471496,0.666931132496902,0.899510504161667,0.127748308872883,0.404473712169933,0.83004066434299,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",3,3,"rf_300_arvores_mtry_4",300,4,0.826388888888889,0.756756756756757,0.885482734319944,0.848392008318479,0.799836701367626,0.650912390390359,0.902638896824943,0.128123195092308,0.406275913741487,0.82111974553835,3,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",3,3,"rf_300_arvores_mtry_3",300,3,0.826440329218107,0.774774774774775,0.87015503875969,0.835209235209235,0.803703703703704,0.650177883911092,0.902643658457612,0.128564984043954,0.40899487575879,0.822464906767232,4,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",3,4,"rf_300_arvores_mtry_3",300,3,0.826388888888889,0.783783783783784,0.862755461592671,0.829264077425842,0.804482117725422,0.651380951602851,0.897743938441613,0.128239228837793,0.407815319818948,0.823269622688227,1,TRUE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",3,4,"rf_500_arvores_mtry_4",500,4,0.826388888888889,0.774774774774775,0.870331219168428,0.835039083200848,0.803059642618736,0.650666925286686,0.901272308249052,0.12792207425755,0.409421443588195,0.822552996971602,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",3,4,"rf_500_arvores_mtry_3",500,3,0.818106995884774,0.765765765765766,0.862579281183932,0.824733824733825,0.793564993564994,0.633593983027523,0.900224749061958,0.127259280460019,0.407192711618745,0.814172523474849,3,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",3,4,"rf_300_arvores_mtry_4",300,4,0.818106995884774,0.765765765765766,0.862579281183932,0.824733824733825,0.793564993564994,0.633593983027523,0.899215282936213,0.129008059318537,0.407668707224282,0.814172523474849,4,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",3,5,"rf_300_arvores_mtry_4",300,4,0.818930041152263,0.765765765765766,0.863636363636364,0.828073504444223,0.794369879407162,0.6361692645066,0.884316134316134,0.135608308326038,0.429031858206012,0.814701064701065,1,TRUE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",3,5,"rf_500_arvores_mtry_3",500,3,0.818930041152263,0.765765765765766,0.863636363636364,0.827060239963466,0.794191250073603,0.63566997098692,0.890868140868141,0.135188721600654,0.429015633862365,0.814701064701065,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",3,5,"rf_300_arvores_mtry_3",300,3,0.818930041152263,0.756756756756757,0.871212121212121,0.831950844854071,0.791938997821351,0.635254834993828,0.892710892710893,0.133529659511138,0.420635713719234,0.813984438984439,3,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",3,5,"rf_500_arvores_mtry_4",500,4,0.814814814814815,0.765765765765766,0.856060606060606,0.820422022798933,0.79082788671024,0.627769873762208,0.888411138411138,0.134599219598166,0.428110273768568,0.810913185913186,4,FALSE
