"Protocolo","Execucao","Base","Algoritmo","Repeticao","Fold_Externo","Fold_Interno","Semente","Configuracao","custo","Acuracia","Sensibilidade","Especificidade","Precisao","F1","MCC","ROC_AUC","Brier","Log_Loss","Acuracia_Balanceada","VP","VN","FP","FN","Precisao_Denominador_Zero","MCC_Denominador_Zero"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,5,3,14150203,"svm_custo_1",1,0.802469135802469,0.918918918918919,0.704545454545455,0.723404255319149,0.80952380952381,0.629289455210805,0.895577395577396,0.151100714981869,0.498917886691634,0.811732186732187,34,31,13,3,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,5,1,14150301,"svm_custo_10",10,0.827160493827161,0.783783783783784,0.863636363636364,0.828571428571429,0.805555555555556,0.651029206861608,0.935503685503685,0.106511383056622,0.340061203884281,0.823710073710074,29,38,6,8,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,5,2,14150302,"svm_custo_10",10,0.85,0.756756756756757,0.930232558139535,0.903225806451613,0.823529411764706,0.703082333067419,0.947203016970459,0.101764867848268,0.328121090448843,0.843494657448146,28,40,3,9,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,5,3,14150303,"svm_custo_10",10,0.790123456790123,0.891891891891892,0.704545454545455,0.717391304347826,0.795180722891566,0.59976220100818,0.885135135135135,0.15170103070171,0.474649311094309,0.798218673218673,33,31,13,4,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",2,1,1,14210101,"svm_custo_0.1",0.1,0.876543209876543,0.864864864864865,0.886363636363636,0.864864864864865,0.864864864864865,0.751228501228501,0.945945945945946,0.0920477061318574,0.307760309675869,0.875614250614251,32,39,5,5,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",2,1,2,14210102,"svm_custo_0.1",0.1,0.839506172839506,0.864864864864865,0.818181818181818,0.8,0.831168831168831,0.680543143713934,0.894963144963145,0.133154155312557,0.420719527665786,0.841523341523342,32,36,8,5,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",2,1,3,14210103,"svm_custo_0.1",0.1,0.802469135802469,0.657894736842105,0.930232558139535,0.892857142857143,0.757575757575758,0.617135331869667,0.900856793145655,0.136352857693365,0.419616373480983,0.79406364749082,25,40,3,13,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",2,1,1,14210201,"svm_custo_1",1,0.888888888888889,0.864864864864865,0.909090909090909,0.888888888888889,0.876712328767123,0.775864422412577,0.958845208845209,0.0930119921887183,0.32044859853644,0.886977886977887,32,40,4,5,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",2,1,2,14210202,"svm_custo_1",1,0.827160493827161,0.837837837837838,0.818181818181818,0.794871794871795,0.815789473684211,0.654014088330234,0.90970515970516,0.125078782544726,0.402638582840091,0.828009828009828,31,36,8,6,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",2,1,3,14210203,"svm_custo_1",1,0.827160493827161,0.684210526315789,0.953488372093023,0.928571428571429,0.787878787878788,0.669151941527776,0.906976744186046,0.129833778531096,0.403177409624892,0.818849449204406,26,41,2,12,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",2,1,1,14210301,"svm_custo_10",10,0.876543209876543,0.837837837837838,0.909090909090909,0.885714285714286,0.861111111111111,0.751092519491191,0.950859950859951,0.101638348055937,0.34921557036536,0.873464373464373,31,40,4,6,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",2,1,2,14210302,"svm_custo_10",10,0.827160493827161,0.864864864864865,0.795454545454545,0.780487804878049,0.82051282051282,0.657899172205466,0.911547911547912,0.125147996518175,0.402694331725664,0.830159705159705,32,35,9,5,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",2,1,3,14210303,"svm_custo_10",10,0.790123456790123,0.605263157894737,0.953488372093023,0.92,0.73015873015873,0.603643785024878,0.855569155446756,0.159898668005751,0.490379576323921,0.77937576499388,23,41,2,15,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",2,2,1,14220101,"svm_custo_0.1",0.1,0.875,0.864864864864865,0.883720930232558,0.864864864864865,0.864864864864865,0.748585795097423,0.94343180389692,0.0923143583204207,0.321140572208989,0.874292897548712,32,38,5,5,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",2,2,2,14220102,"svm_custo_0.1",0.1,0.802469135802469,0.702702702702703,0.886363636363636,0.838709677419355,0.764705882352941,0.603706091258267,0.877764127764128,0.138970089502258,0.425928378243846,0.79453316953317,26,39,5,11,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",2,2,3,14220103,"svm_custo_0.1",0.1,0.839506172839506,0.810810810810811,0.863636363636364,0.833333333333333,0.821917808219178,0.676110425245246,0.91031941031941,0.110984816135001,0.359755516365903,0.837223587223587,30,38,6,7,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",2,2,1,14220201,"svm_custo_1",1,0.875,0.837837837837838,0.906976744186046,0.885714285714286,0.861111111111111,0.748588207608396,0.930861093651791,0.112152219462348,0.376355746336349,0.872407291011942,31,39,4,6,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",2,2,2,14220202,"svm_custo_1",1,0.765432098765432,0.648648648648649,0.863636363636364,0.8,0.716417910447761,0.528436898518777,0.86977886977887,0.136494070855807,0.4184920834489,0.756142506142506,24,38,6,13,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",2,2,3,14220203,"svm_custo_1",1,0.827160493827161,0.864864864864865,0.795454545454545,0.780487804878049,0.82051282051282,0.657899172205466,0.907248157248157,0.119745982653362,0.393118498510459,0.830159705159705,32,35,9,5,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",2,2,1,14220301,"svm_custo_10",10,0.8875,0.837837837837838,0.930232558139535,0.911764705882353,0.873239436619718,0.774671790862277,0.947831552482715,0.103827817685934,0.357384081124129,0.884035197988686,31,40,3,6,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",2,2,2,14220302,"svm_custo_10",10,0.827160493827161,0.675675675675676,0.954545454545455,0.925925925925926,0.78125,0.665949655371142,0.877764127764128,0.13367926953922,0.420163428768189,0.815110565110565,25,42,2,12,0,0
